epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,333.327,0.4696,1.01626,0.51767,0.9414,0,0.89744,0.82665,0.87996,0.7901,0.87869,0.7925,0.83433,0.68815,0.43015,1.03916,0.54118,0.87298,0,0.00053225,0.00053225,0.00053225
60,338.736,0.4654,0.97174,0.50288,0.94,0,0.88502,0.83983,0.87535,0.77379,0.88684,0.79416,0.83718,0.68378,0.43278,1.04593,0.52095,0.88568,0,0.000519875,0.000519875,0.000519875
61,344.028,0.48763,0.9675,0.50437,0.9455,0,0.87575,0.82793,0.88079,0.79195,0.89129,0.75305,0.83922,0.71007,0.40159,1.01234,0.50041,0.85939,0,0.0005075,0.0005075,0.0005075
62,349.396,0.45485,0.93348,0.47536,0.93116,0,0.88287,0.85052,0.86857,0.77638,0.85157,0.8124,0.84322,0.70582,0.40106,1.04265,0.51992,0.85868,0,0.000495125,0.000495125,0.000495125
63,354.701,0.45708,0.91393,0.5014,0.92924,0,0.88784,0.83698,0.87187,0.78433,0.89248,0.78734,0.83698,0.7125,0.41033,1.0455,0.50989,0.86661,0,0.00048275,0.00048275,0.00048275
64,360.088,0.46901,0.93086,0.48984,0.93987,0,0.86311,0.83207,0.88003,0.78384,0.86319,0.80007,0.84984,0.6999,0.41812,1.01009,0.48725,0.8703,0,0.000470375,0.000470375,0.000470375
65,365.461,0.45123,0.89015,0.46866,0.92322,0,0.90927,0.81473,0.89348,0.79831,0.89678,0.78367,0.84308,0.71526,0.40217,1.01094,0.46794,0.86666,0,0.000458,0.000458,0.000458
66,370.922,0.46404,0.93046,0.48277,0.93044,0,0.89987,0.83326,0.89293,0.80728,0.857,0.81103,0.84358,0.71748,0.40325,1.06607,0.48474,0.86517,0,0.000445625,0.000445625,0.000445625
67,376.326,0.42437,0.83543,0.44853,0.91051,0,0.88995,0.82187,0.87778,0.79776,0.84896,0.79367,0.83217,0.72463,0.40804,1.11926,0.52067,0.87189,0,0.00043325,0.00043325,0.00043325
68,381.7,0.46738,0.93752,0.49954,0.93429,0,0.9152,0.80768,0.86886,0.77783,0.91125,0.75093,0.82526,0.72048,0.4103,1.02954,0.53123,0.8669,0,0.000420875,0.000420875,0.000420875
69,387.048,0.45874,0.91992,0.48925,0.93207,0,0.91835,0.78277,0.87526,0.80127,0.88999,0.75174,0.82756,0.72441,0.38832,1.04444,0.49972,0.85491,0,0.0004085,0.0004085,0.0004085
70,392.395,0.45769,0.92234,0.47647,0.93278,0,0.87424,0.84936,0.90032,0.81584,0.85169,0.83798,0.86254,0.73177,0.38184,0.94807,0.44507,0.85076,0,0.000396125,0.000396125,0.000396125
